Path	File	Name	Frames	Slices	Bits	TimeRes	XYRes	ZRes	Delay	Nickname	Rep	Zoom	Flip	From	nc14	To	SplitEarly	Notes
/Volumes/Mac OS/MS2/20190128 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, med7Ri/	20190128 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, med7Ri 1.lif	_3D/	207	29	12	15	0.36	1	50	m5m8peve med7Ri	1	2	1,0	1	1	208	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190204 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, med7Ri/	20190204 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, med7Ri 1.lif	_3D/	280	29	12	15	0.36	1	0	m5m8peve med7Ri	2	2	0,1	1	40	281	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190204 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, med7Ri/	20190204 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, med7Ri 2.lif	_3D/	360	29	12	15	0.36	1	0	m5m8peve med7Ri	3	2	0,0	1	80	361	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/Margherita/20190226 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, w-UAS-RNAi/	20190226 RNAi w.lif	_3D/	438	29	12	15	0.36	1	0	m5m8peve wRi	1	2	1,0	1	172	439	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/Margherita/20190227 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, w-UAS-RNAi/	200227 RNAi w.lif	_3D/	348	29	12	15	0.36	1	0	m5m8peve wRi	2	2	1,0	1	63	349	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/Margherita/20190301 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, w-UAS-RNAi-2/	20190301 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, w-UAS-RNAi-2.lif	_3D/	349	29	12	15	0.36	1	0	m5m8peve wRi	4	2	0,1	1	55	350	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/Margherita/20190302 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, w-UAS-RNAi/	20190302 RNAi w.lif	_3D/	362	29	12	15	0.36	1	0	m5m8peve wRi	5	2	0,0	1	129	363	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190319 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi/	20190319 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi.lif	_3D/	394	29	12	15	0.36	1	0	m5m8peve wRi	6	2	0,1	1	150	395	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190320 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi/	20190320 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi.lif	_3D/	403	29	12	15	0.36	1	0	m5m8peve wRi	7	2	1,1	1	100	404	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190512 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, HRi/	20190512 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, HRi.lif	_3D/	290	29	12	15	0.36	1	0	m5m8peve HRi	1	2	0,0	1	30	291	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
