Path	File	Name	Frames	Slices	Bits	TimeRes	XYRes	ZRes	Delay	Nickname	Rep	Zoom	Flip	From	nc14	To	SplitEarly	Notes
/Volumes/JFS/MS2/20170929 hisRFP, nosMCPGFP,m5m8pm7MS2LacZ/	20170929 hisRFP, nosMCPGFP,m5m8pm7MS2LacZ.lif	_3D/	562	19	12	10	0.48	1	0	m5m8pm7	1	0.75	0,1	1	40	563	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171002 hisRFP, nosMCPGFP,m5m8pm7MS2LacZ/	20171002 hisRFP, nosMCPGFP,m5m8pm7MS2LacZ.lif	_3D/	733	19	12	10	0.48	1	0	m5m8pm7	2	0.75	1,0	1	250	734	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171002 hisRFP, nosMCPGFP,m5m8psimEMS2LacZ/	20171002 hisRFP, nosMCPGFP,m5m8psimEMS2LacZ.lif	_3D/	514	19	8	10	0.48	1	0	m5m8psimE	2	0.75	1,0	1	30	515	15	8b Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171003 hisRFP, nosMCPGFP,m5m8pm7MS2LacZ/	20171003 hisRFP, nosMCPGFP,m5m8pm7MS2LacZ.lif	_3D/	546	19	12	10	0.48	1	0	m5m8pm7	3	0.75	0,1	1	50	547	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171005 hisRFP, nosMCPGFP,m5m8pm5MS2LacZ/	20171005 hisRFP, nosMCPGFP,m5m8pm5MS2LacZ 1.lif	_3D/	549	19	12	10	0.48	1	0	m5m8pm5	2	0.75	0,1	1	40	550	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171005 hisRFP, nosMCPGFP,m5m8pm5MS2LacZ/	20171005 hisRFP, nosMCPGFP,m5m8pm5MS2LacZ 2.lif	_3D/	518	19	12	10	0.48	1	20	m5m8pm5	3	0.75	0,0	1	1	519	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171009 hisRFP, nosMCPGFP,m5m8pm6MS2LacZ/	20171009 hisRFP, nosMCPGFP,m5m8pm6MS2LacZ 1.lif	_3D/	309	19	12	10	0.48	1	160	m5m8pm6	2	0.75	0,1	1	1	310	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171009 hisRFP, nosMCPGFP,m5m8pm6MS2LacZ/	20171009 hisRFP, nosMCPGFP,m5m8pm6MS2LacZ 2.lif	_3D/	471	19	12	10	0.48	1	0	m5m8pm6	3	0.75	0,1	1	1	472	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171026 hisRFP, nosMCPGFP,m8NEpeveMS2LacZ/	20171026 hisRFP, nosMCPGFP,m8NEpeveMS2LacZ 1.lif	_3D/	605	19	12	10	0.48	1	0	m8NEpeve	1	0.75	0,0	1	230	606	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171026 hisRFP, nosMCPGFP,m8NEpeveMS2LacZ/	20171026 hisRFP, nosMCPGFP,m8NEpeveMS2LacZ 2.lif	_3D/	326	19	12	10	0.48	1	150	m8NEpeve	2	0.75	0,1	1	1	327	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171108 hisRFP, nosMCPGFP,m5m8peveMS2LacZIII/	20171108 hisRFP, nosMCPGFP,m5m8peveMS2LacZIII.lif	_3D/	582	19	12	10	0.48	1	0	m5m8peveIII	1	0.75	0,1	1	265	583	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171115 hisRFP, nosMCPGFP,m5m8peveMS2LacZIII/	20171115 hisRFP, nosMCPGFP,m5m8peveMS2LacZIII.lif	_3D/	380	19	12	10	0.48	1	70	m5m8peveIII	2	0.75	0,0	1	1	381	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171116 hisRFP, nosMCPGFP,m5m8peveMS2LacZIII/	20171116 hisRFP, nosMCPGFP,m5m8peveMS2LacZIII.lif	_3D/	621	19	12	10	0.48	1	0	m5m8peveIII	3	0.75	0,1	1	90	622	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171202 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ/	20171202 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ 2.lif	_3D/	381	19	12	10	0.48	1	110	simMSEpeve	3	0.751219344	0,0	1	1	382	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171207 hisRFP, nosMCPGFP,m5m8MSEpm8MS2LacZ/	20171207 hisRFP, nosMCPGFP,m5m8MSEpm8MS2LacZ.lif	_3D/	712	19	12	10	0.48	1	0	m5m8pm8	3	0.75	0,0	1	170	713	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171208 hisRFP, nosMCPGFP,m5m8MSEpm8MS2LacZ/	20171208 hisRFP, nosMCPGFP,m5m8MSEpm8MS2LacZ.lif	_3D/	686	19	12	10	0.48	1	0	m5m8pm8	4	0.75	0,0	1	175	687	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20171211 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD/	20171211 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD.lif	_3D/	285	29	12	15	0.36	1	0	simMSEpeve eveNICD	1	2	0,0	1	8	286	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20171216 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD/	20171216 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, +.lif	_3D/	393	29	12	15	0.36	1	0	simMSEpeve +	1	2	0,0	1	120	394	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20171218 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD/	20171218 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, +.lif	_3D/	334	29	12	15	0.36	1	0	simMSEpeve +	2	2	0,0	1	20	335	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20171218 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD/	20171218 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD.lif	_3D/	222	29	12	15	0.36	1	80	simMSEpeve eveNICD	2	2	0,1	1	1	223	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20171219 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD/	20171219 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD 1.lif	_3D/	258	29	12	15	0.36	1	40	simMSEpeve eveNICD	3	2	0,1	1	1	259	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180125 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, neur/	20180125 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, neur.lif	_3D/	449	29	12	15	0.48	1	0	m5m8peve neur	1	0.75	1,0	1	130	450	15	Pinh_4_Speed_400_488_0.2_G_1_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20180126 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD/	20180126 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD 2.lif	_3D/	344	29	12	15	0.36	1	0	m5m8peve eveNICD	1	2	0,0	1	15	345	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180129 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD/	20180129 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD.lif	_3D/	222	29	12	15	0.36	1	80	m5m8peve eveNICD	2	2	0,1	1	1	223	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180131 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD/	20180131 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD.lif	_3D/	415	29	12	15	0.36	1	0	m5m8peve eveNICD	3	2	0,1	1	135	416	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180201 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD/	20180201 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, +.lif	_3D/	240	29	12	15	0.36	1	40	m5m8peve +	1	2	1,0	1	1	241	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180205 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD/	20180205 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD 1.lif	_3D/	420	29	12	15	0.36	1	0	m5m8peve eveNICD	4	2	0,0	1	145	421	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180205 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD/	20180205 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD 2.lif	_3D/	238	29	12	15	0.36	1	80	m5m8pevel eveNICD	1	2	1,1	1	1	239	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180206 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD/	20180206 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD.lif	_3D/	277	29	12	15	0.36	1	0	m5m8peve eveNICD	5	2	0,0	1	10	278	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180207 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD/	20180207 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD.lif	_3D/	322	29	12	15	0.36	1	0	m5m8peve eveNICD	6	2	0,0	1	40	323	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180208 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD/	20180208 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, +.lif	_3D/	270	29	12	15	0.36	1	30	m5m8peve +	2	2	0,1	1	1	271	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180212 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD/	20180212 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, +.lif	_3D/	347	29	12	15	0.36	1	0	m5m8peve +	3	2	1,1	1	85	348	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180212 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD/	20180212 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD.lif	_3D/	194	29	12	15	0.36	1	80	simMSEpeve eveNICD	4	2	0,0	1	1	195	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180213 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, eveNICD/	20180213 hisRFP, nosMCPGFP, m5m8peveMS2LacZ, +.lif	_3D/	302	29	12	15	0.36	1	0	m5m8peve +	4	2	0,0	1	20	303	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180213 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD/	20180213 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, +.lif	_3D/	421	29	12	15	0.36	1	0	simMSEpeve +	3	2	0,0	1	148	422	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180213 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD/	20180213 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD.lif	_3D/	149	29	12	15	0.36	1	80	simMSEpevel eveNICD	1	2	0,1	1	1	150	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180214 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD/	20180214 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD 1.lif	_3D/	351	29	12	15	0.36	1	0	simMSEpeve eveNICD	5	2	0,0	1	70	352	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180214 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD/	20180214 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD 2.lif	_3D/	222	29	12	15	0.36	1	0	simMSEpevel eveNICD	2	2	0,0	1	1	223	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180219 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, neur/	20180219 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, neur.lif	_3D/	390	29	12	15	0.48	1	0	m5m8peve neur	2	0.75	1,0	1	75	391	15	Pinh_4_Speed_400_488_0.2_G_2_R_3_GG_700_RG_700
/Volumes/JFS/MS2/20180612 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, 2xeveNICD/	20180612 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, 2xeveNICD.lif	_3D/	321	29	12	15	0.36	1	0	m5m8peve 2xeveNICD	1	2	0,0	1	32	322	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180614 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, 2xeveNICD/	20180614 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, +.lif	_3D/	250	29	12	15	0.36	1	0	simMSEpeve +	4	2	1,1	1	1	251	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180614 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, 2xeveNICD/	20180614 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, 2xeveNICD 3.lif	_3D/	222	29	12	15	0.36	1	48	simMSEpeve 2xeveNICD	1	2	1,1	1	1	223	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180617 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, 2xeveNICD/	20180617 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, +.lif	_3D/	375	29	12	15	0.36	1	0	simMSEpeve +	5	2	0,1	1	80	376	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
