Path	File	Name	Frames	Slices	Bits	TimeRes	XYRes	ZRes	Delay	Nickname	Rep	Zoom	Flip	From	nc14	To	SplitEarly	Notes
/Volumes/JFS/MS2/20180411 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20180411 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII, slam:CTG.lif	_3D/	209	33	12	20	0.36	2	0	m5m8peveIII slam:CTG:CTG	11	2	1,1	1	5	210	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190114 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog/	20190114 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog.lif	_3D/	292	29	12	15	0.36	1	12	m5m8peve Fog:+	1	2	1,0	1	1	293	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190115 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog/	20190115 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog 1.lif	_3D/	343	29	12	15	0.36	1	0	m5m8peve Fog:+	2	2	0,1	1	75	344	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190115 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog/	20190115 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog 2.lif	_3D/	357	29	12	15	0.36	1	0	m5m8peve Fog	1	2	0,1	1	20	358	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190116 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog/	20190116 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog:+ 1.lif	_3D/	357	29	12	15	0.36	1	0	m5m8peve Fog:+	3	2	0,1	1	36	358	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190116 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog/	20190116 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog:+ 2.lif	_3D/	297	29	12	15	0.36	1	0	m5m8peve Fog:+	4	2	0,1	1	56	298	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190118 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog/	20190118 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog.lif	_3D/	294	29	12	15	0.36	1	0	m5m8peve Fog	2	2	0,1	1	1	295	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190121 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog/	20190121 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog.lif	_3D/	436	29	12	15	0.36	1	0	m5m8peve Fog	3	2	0,0	1	40	437	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190123 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog/	20190123 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, Fog:+.lif	_3D/	379	29	12	15	0.36	1	0	m5m8peve Fog:+	5	2	0,1	1	60	380	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190130 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, slam/	20190130 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII 1.lif	_3D/	196	33	12	20	0.36	2	0	m5m8peveIII	1	2	0,0	1	1	197	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
